company_id,from_year,to_year,from_pattern,to_pattern
INDIGO,2017-03,2018-03,Shareholder Returns,Mixed
INDIGO,2018-03,2019-03,Mixed,Shareholder Returns
INDIGO,2019-03,2020-03,Shareholder Returns,Reinvestor
INDIGO,2020-03,2021-03,Reinvestor,Mixed
INDIGO,2021-03,2022-03,Mixed,Liquidating Assets
INDIGO,2022-03,2023-03,Liquidating Assets,Reinvestor
INDIGO,2023-03,2024-03,Reinvestor,Shareholder Returns
INDUSINDBK,2016-03,2017-03,Growth Funded by Debt,Shareholder Returns
INDUSINDBK,2017-03,2018-03,Shareholder Returns,Growth Funded by Debt
INDUSINDBK,2019-03,2020-03,Growth Funded by Debt,Distress Signal
INDUSINDBK,2020-03,2021-03,Distress Signal,Shareholder Returns
INDUSINDBK,2022-03,2023-03,Shareholder Returns,Growth Funded by Debt
INDUSINDBK,2023-03,2024-03,Growth Funded by Debt,Pre-Revenue
INFY,2014-03,2015-03,Reinvestor,Liquidating Assets
INFY,2015-03,2016-03,Liquidating Assets,Reinvestor
INFY,2017-03,2018-03,Reinvestor,Liquidating Assets
INFY,2018-03,2019-03,Liquidating Assets,Reinvestor
INFY,2019-03,2020-03,Reinvestor,Shareholder Returns
INFY,2022-03,2023-03,Shareholder Returns,Reinvestor
IOC,2013-03,2014-03,Mixed,Shareholder Returns
IOC,2018-03,2019-03,Shareholder Returns,Mixed
IOC,2020-03,2021-03,Mixed,Shareholder Returns
IRCTC,2015-03,2016-03,Reinvestor,Liquidating Assets
IRCTC,2018-03,2019-03,Liquidating Assets,Shareholder Returns
IRCTC,2019-03,2020-03,Shareholder Returns,Liquidating Assets
IRCTC,2020-03,2021-03,Liquidating Assets,Shareholder Returns
IRCTC,2021-03,2022-03,Shareholder Returns,Reinvestor
IRFC,2020-03,2021-03,Distress Signal,Mixed
IRFC,2021-03,2022-03,Mixed,Growth Funded by Debt
IRFC,2022-03,2023-03,Growth Funded by Debt,Mixed
IRFC,2023-03,2024-03,Mixed,Shareholder Returns
ITC,2014-03,2015-03,Reinvestor,Shareholder Returns
ITC,2018-03,2019-03,Shareholder Returns,Reinvestor
ITC,2020-03,2021-03,Reinvestor,Liquidating Assets
ITC,2021-03,2022-03,Liquidating Assets,Shareholder Returns
ITC,2022-03,2023-03,Shareholder Returns,Reinvestor
ITC,2023-03,2024-03,Reinvestor,Liquidating Assets
JINDALSTEL,2015-03,2016-03,Mixed,Reinvestor
JINDALSTEL,2020-03,2021-03,Reinvestor,Shareholder Returns
JINDALSTEL,2023-03,2024-03,Shareholder Returns,Mixed
JIOFIN,2023-03,2024-03,Shareholder Returns,Mixed
JSWENERGY,2019-03,2020-03,Shareholder Returns,Liquidating Assets
JSWENERGY,2020-03,2021-03,Liquidating Assets,Shareholder Returns
JSWENERGY,2022-03,2023-03,Shareholder Returns,Mixed
JSWSTEEL,2013-03,2014-03,Shareholder Returns,Mixed
JSWSTEEL,2014-03,2015-03,Mixed,Shareholder Returns
JSWSTEEL,2015-03,2016-03,Shareholder Returns,Reinvestor
JSWSTEEL,2016-03,2017-03,Reinvestor,Shareholder Returns
JSWSTEEL,2018-03,2019-03,Shareholder Returns,Mixed
JSWSTEEL,2020-03,2021-03,Mixed,Shareholder Returns
KOTAKBANK,2013-03,2014-03,Mixed,Shareholder Returns
KOTAKBANK,2014-03,2015-03,Shareholder Returns,Mixed
KOTAKBANK,2017-03,2018-03,Mixed,Growth Funded by Debt
KOTAKBANK,2018-03,2019-03,Growth Funded by Debt,Mixed
KOTAKBANK,2019-03,2020-03,Mixed,Shareholder Returns
KOTAKBANK,2020-03,2021-03,Shareholder Returns,Reinvestor
KOTAKBANK,2021-03,2022-03,Reinvestor,Mixed
